PERMISSION_ID;GROUP_ID
1;1
1;2
2;1
3;1
3;2
4;1
4;2
4;3
4;4
4;5
5;1
5;2
5;3
6;1
6;2
6;5
7;1
7;2
7;6
8;1
8;2
8;4
9;1
9;2
9;4
10;1
10;2
10;4
11;1
11;2
11;4
12;1
12;2
12;4
13;7
