GROUP_ID;"DATE_CREATED";"DATE_MODIFIED";"UPDT_ID";"GROUP_NAME";"GROUP_TYPE"
1;"2017-04-16 22:59:11";"2017-04-16 22:59:11";;"SUPERADMIN";"ADMIN"
2;"2017-04-16 22:59:11";"2017-04-16 22:59:11";;"ADMIN";"ADMIN"
3;"2017-04-16 22:59:11";"2017-04-16 22:59:11";;"ADMIN_CATALOGUE";"ADMIN"
4;"2017-04-16 22:59:11";"2017-04-16 22:59:11";;"ADMIN_STORE";"ADMIN"
5;"2017-04-16 22:59:11";"2017-04-16 22:59:11";;"ADMIN_ORDER";"ADMIN"
6;"2017-04-16 22:59:11";"2017-04-16 22:59:11";;"ADMIN_CONTENT";"ADMIN"
7;"2017-04-16 22:59:11";"2017-04-16 22:59:11";;"CUSTOMER";"ADMIN"
